Date,Ticker,Currency,Open,High,Low,Close,Adj Close,Volume,Change,%Change,MarketCap
2020-01-01,ADA-USD,USD,0.03,0.03,0.03,0.03,0.03,22948374,0.00,0.00,23967385600
2020-01-01,ATOM-USD,USD,4.22,4.47,4.20,4.38,4.38,107994513,0.16,3.79,1506169472
2020-01-01,BNB-USD,USD,13.73,13.87,13.65,13.69,13.69,172980718,-0.04,-0.29,156638248960
2020-01-01,BTC-USD,USD,7194.89,7254.33,7174.94,7200.17,7200.17,1385795813,5.28,0.07,2272121585664
2020-01-01,DOGE-USD,USD,0.00,0.00,0.00,0.00,0.00,51180941,0.00,,30334775296
2020-01-01,ETH-USD,USD,129.63,132.84,129.20,130.80,130.80,-654704262,1.17,0.90,496596582400
2020-01-01,LINK-USD,USD,1.77,1.85,1.76,1.81,1.81,69723037,0.04,2.26,12714944512
2020-01-01,LTC-USD,USD,41.33,42.29,41.29,42.02,42.02,-1511974973,0.69,1.67,7622200832
2020-01-01,MATIC-USD,USD,0.01,0.02,0.01,0.01,0.01,29962857,0.00,0.00,0
2020-01-01,TRX-USD,USD,0.01,0.01,0.01,0.01,0.01,977215885,0.00,0.00,28247525376
2020-01-01,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,10081,0.00,,17388
2020-01-01,XRP-USD,USD,0.19,0.19,0.19,0.19,0.19,1041134003,0.00,0.00,157739499520
2020-01-02,ADA-USD,USD,0.03,0.03,0.03,0.03,0.03,20843934,0.00,0.00,23967385600
2020-01-02,ATOM-USD,USD,4.38,4.38,4.08,4.09,4.09,111325337,-0.29,-6.62,1506169472
2020-01-02,BNB-USD,USD,13.70,13.72,12.99,13.03,13.03,156376427,-0.67,-4.89,156638248960
2020-01-02,BTC-USD,USD,7202.55,7212.16,6935.27,6985.47,6985.47,-672753015,-217.08,-3.01,2272121585664
2020-01-02,DOGE-USD,USD,0.00,0.00,0.00,0.00,0.00,65071106,0.00,,30334775296
2020-01-02,ETH-USD,USD,130.82,130.82,126.95,127.41,127.41,-557225336,-3.41,-2.61,496596582400
2020-01-02,LINK-USD,USD,1.81,1.82,1.72,1.74,1.74,52729126,-0.07,-3.87,12714944512
2020-01-02,LTC-USD,USD,42.02,42.13,39.68,39.82,39.82,-1535140157,-2.20,-5.24,7622200832
2020-01-02,MATIC-USD,USD,0.01,0.02,0.01,0.01,0.01,36726567,0.00,0.00,0
2020-01-02,TRX-USD,USD,0.01,0.01,0.01,0.01,0.01,999867628,0.00,0.00,28247525376
2020-01-02,UNI-USD,USD,0.00,0.00,0.00,0.00,0.00,9022,0.00,,17388
2020-01-02,XRP-USD,USD,0.19,0.19,0.19,0.19,0.19,1085351426,0.00,0.00,157739499520
2020-01-03,ADA-USD,USD,0.03,0.03,0.03,0.03,0.03,30162644,0.00,0.00,23967385600
2020-01-03,ATOM-USD,USD,4.11,4.36,4.02,4.25,4.25,138617691,0.14,3.41,1506169472
2020-01-03,BNB-USD,USD,13.04,13.76,13.01,13.66,13.66,173683857,0.62,4.75,156638248960
2020-01-03,BTC-USD,USD,6984.43,7413.72,6915.00,7344.88,7344.88,-1953290040,360.45,5.16,2272121585664
2020-01-03,DOGE-USD,USD,0.00,0.00,0.00,0.00,0.00,62619988,0.00,,30334775296
2020-01-03,ETH-USD,USD,127.41,134.55,126.49,134.17,134.17,1886910766,6.76,5.31,496596582400
2020-01-03,LINK-USD,USD,1.74,1.83,1.71,1.81,1.81,61298048,0.07,4.02,12714944512
2020-01-03,LTC-USD,USD,39.86,42.45,39.45,42.42,42.42,-1034005970,2.56,6.42,7622200832
2020-01-03,MATIC-USD,USD,0.01,0.02,0.01,0.02,0.02,23635829,0.01,100.00,0
2020-01-03,TRX-USD,USD,0.01,0.01,0.01,0.01,0.01,1109470187,0.00,0.00,28247525376
2020-01-03,UNI-USD,USD,0.00,0.01,0.00,0.00,0.00,19227,0.00,,17388
2020-01-03,XRP-USD,USD,0.19,0.19,0.19,0.19,0.19,1270017043,0.00,0.00,157739499520
2020-01-04,ADA-USD,USD,0.03,0.03,0.03,0.03,0.03,29535781,0.00,0.00,23967385600
2020-01-04,ATOM-USD,USD,4.25,4.39,4.23,4.29,4.29,90718305,0.04,0.94,1506169472
